frame,budget_pct,rule,slots,selected_missing,baseline_difference,target_difference,reachable,delta_at_target,minimum_difference,maximum_difference
three_year,1,max_resid,32,8,-2.3873555429261364,5,True,29.754014807908405,-13.162175248943335,11.665921364635786
three_year,2,D2,62,12,0.5620644418895849,-5,True,-29.132025731600017,-7.748762642122702,11.343848675518409
three_year,2,D2,62,12,0.5620644418895849,0,True,-2.9438845872814206,-7.748762642122702,11.343848675518409
three_year,2,D2,62,12,0.5620644418895849,5,True,23.24425655703717,-7.748762642122702,11.343848675518409
three_year,2,mean,62,10,8.802272933898992,-5,False,,1.7704542480649788,17.66680538502955
three_year,2,mean,62,10,8.802272933898992,0,False,,1.7704542480649788,17.66680538502955
three_year,2,mean,62,10,8.802272933898992,5,True,-23.919155415844955,1.7704542480649788,17.66680538502955
three_year,2,variance,62,7,1.2741937954799043,-5,False,,-3.545933527999322,7.591967399000238
three_year,2,variance,62,7,1.2741937954799043,0,True,-11.440160976752015,-3.545933527999322,7.591967399000238
three_year,2,variance,62,7,1.2741937954799043,5,True,33.451601239227315,-3.545933527999322,7.591967399000238
three_year,2,max,62,13,9.845971431551527,-5,False,,0.8067528965718931,21.482464505750198
three_year,2,max,62,13,9.845971431551527,0,False,,0.8067528965718931,21.482464505750198
three_year,2,max,62,13,9.845971431551527,5,True,-23.437991026148374,0.8067528965718931,21.482464505750198
three_year,2,max_resid,62,11,0.8234007995211768,-5,True,-33.26346731544878,-6.7073082416870715,10.799588271222678
three_year,2,max_resid,62,11,0.8234007995211768,0,True,-4.70329392142116,-6.7073082416870715,10.799588271222678
three_year,2,max_resid,62,11,0.8234007995211768,5,True,23.856879472606458,-6.7073082416870715,10.799588271222678
three_year,5,D2,151,35,-2.4972263331041606,-5,True,-11.183969443103681,-12.2465213713312,10.131702028046146
three_year,5,D2,151,35,-2.4972263331041606,0,True,11.159180461008557,-12.2465213713312,10.131702028046146
three_year,5,D2,151,35,-2.4972263331041606,5,True,33.502330365120784,-12.2465213713312,10.131702028046146
three_year,5,mean,151,20,10.637764148319258,-5,False,,5.04909063602608,17.826648927419885
three_year,5,mean,151,20,10.637764148319258,0,False,,5.04909063602608,17.826648927419885
three_year,5,mean,151,20,10.637764148319258,5,False,,5.04909063602608,17.826648927419885
three_year,5,variance,151,25,1.1425725218438034,-5,True,-38.40415559059599,-5.782878129982036,10.21167357251115
three_year,5,variance,151,25,1.1425725218438034,0,True,-7.143510759765167,-5.782878129982036,10.21167357251115
three_year,5,variance,151,25,1.1425725218438034,5,True,24.117134071065657,-5.782878129982036,10.21167357251115
three_year,5,max,151,25,8.430835434648674,-5,False,,1.467812255988866,17.449785177153398
three_year,5,max,151,25,8.430835434648674,0,False,,1.467812255988866,17.449785177153398
three_year,5,max,151,25,8.430835434648674,5,True,-21.466908069311664,1.467812255988866,17.449785177153398
three_year,5,max_resid,151,25,1.5282662367540905,-5,True,-41.10648646745014,-5.39718441507175,10.597367287421438
three_year,5,max_resid,151,25,1.5282662367540905,0,True,-9.55491760682401,-5.39718441507175,10.597367287421438
three_year,5,max_resid,151,25,1.5282662367540905,5,True,21.705727224006807,-5.39718441507175,10.597367287421438
three_year,10,D2,301,58,-0.778343084605588,-5,True,-23.546366605772654,-8.615244797385987,9.313877712578789
three_year,10,D2,301,58,-0.778343084605588,0,True,4.341222411598753,-8.615244797385987,9.313877712578789
three_year,10,D2,301,58,-0.778343084605588,5,True,32.22881142897016,-8.615244797385987,9.313877712578789
three_year,10,mean,301,35,9.675525820805094,-5,False,,4.953776711457566,15.75488121766092
three_year,10,mean,301,35,9.675525820805094,0,False,,4.953776711457566,15.75488121766092
three_year,10,mean,301,35,9.675525820805094,5,True,-43.76683869707945,4.953776711457566,15.75488121766092
three_year,10,variance,301,44,2.9981648630744258,-5,False,,-2.9405013427709465,10.674961526601283
three_year,10,variance,301,44,2.9981648630744258,0,True,-22.020293337355064,-2.9405013427709465,10.674961526601283
three_year,10,variance,301,44,2.9981648630744258,5,True,14.702659440456262,-2.9405013427709465,10.674961526601283
three_year,10,max,301,51,7.471279725990963,-5,False,,0.6064531633739664,16.39822015478006
three_year,10,max,301,51,7.471279725990963,0,False,,0.6064531633739664,16.39822015478006
three_year,10,max,301,51,7.471279725990963,5,True,-15.649165336189665,0.6064531633739664,16.39822015478006
three_year,10,max_resid,301,50,-1.302453651884312,-5,True,-23.909071454149867,-8.059286120961648,7.405749211784033
