frame,budget_pct,rule,comparator,scenario,difference,ci_low,ci_high,replicates,pointwise_exploratory
two_year_early,5,variance,lottery,missing_pool_mean,1.5854241548416326,-2.214566663474987,6.009777286907884,2000,True
two_year_early,5,variance,lottery,missing_zero_citation_percentile,1.4769780263745744,-2.727004723842772,6.370631512009969,2000,True
two_year_early,5,variance,mean,observed_only,-9.928258845978071,-16.001357858240215,-2.62384496221344,2000,True
two_year_early,5,variance,mean,missing_percentile_0,-10.043979539804802,-16.31138519415505,-2.833754571558405,2000,True
two_year_early,5,variance,mean,missing_pool_mean,-8.664226289436819,-13.737793516158499,-2.4357826805507035,2000,True
two_year_early,5,variance,mean,missing_zero_citation_percentile,-9.500724876675143,-15.15879294892557,-2.9127805088308216,2000,True
two_year_early,5,variance,D2,observed_only,4.480048018899268,-0.6814505847928549,10.52904329014564,2000,True
two_year_early,5,variance,D2,missing_percentile_0,6.303070023623267,1.3926569493694596,11.441248354829744,2000,True
two_year_early,5,variance,D2,missing_pool_mean,3.380666276303913,-0.6568529464674338,8.375839721810955,2000,True
two_year_early,5,variance,D2,missing_zero_citation_percentile,5.166390787632061,0.8449848324960884,10.035493283689464,2000,True
two_year_early,10,variance,lottery,observed_only,3.9946367184612654,0.9698215084250663,7.565557138725602,2000,True
two_year_early,10,variance,lottery,missing_percentile_0,4.021704494730734,0.892494980779432,7.543128125493212,2000,True
two_year_early,10,variance,lottery,missing_pool_mean,3.360989504704733,0.7702548405246834,6.381951058989056,2000,True
two_year_early,10,variance,lottery,missing_zero_citation_percentile,3.7779171789164607,0.940800440078225,7.013077561029994,2000,True
two_year_early,10,variance,mean,observed_only,-6.786090535988265,-10.767533088867816,-2.0858186054602865,2000,True
two_year_early,10,variance,mean,missing_percentile_0,-7.349874874368901,-11.478341780005413,-2.658496507013484,2000,True
two_year_early,10,variance,mean,missing_pool_mean,-6.056506408397709,-9.565000049670894,-1.9489514982397662,2000,True
two_year_early,10,variance,mean,missing_zero_citation_percentile,-6.819666098866179,-10.475254863680194,-2.4685286692639368,2000,True
two_year_early,10,variance,D2,observed_only,4.2140492650030765,1.178295937174345,8.371110145129315,2000,True
two_year_early,10,variance,D2,missing_percentile_0,5.506495868265766,2.46315345062007,9.065929908878,2000,True
two_year_early,10,variance,D2,missing_pool_mean,3.46391883565925,0.9432912967589422,6.950551010955708,2000,True
two_year_early,10,variance,D2,missing_zero_citation_percentile,4.727524202419396,1.9988685651115963,8.137871546777136,2000,True
three_year_early,1,variance,lottery,observed_only,0.36962100411014376,-9.120614746166229,11.989198808557271,2000,True
three_year_early,1,variance,lottery,missing_percentile_0,1.48086650256392,-7.827744024511529,12.968515233687784,2000,True
three_year_early,1,variance,lottery,missing_pool_mean,0.26227079504908346,-7.79451010491385,10.364509334206442,2000,True
three_year_early,1,variance,lottery,missing_zero_citation_percentile,1.2166586266229515,-7.423102132146409,11.960791701937575,2000,True
three_year_early,1,variance,mean,observed_only,-17.253220409207486,-27.16023560736572,-1.6766021749505846,2000,True
three_year_early,1,variance,mean,missing_percentile_0,-18.758175190133798,-28.67757880303779,-2.0923564703816746,2000,True
three_year_early,1,variance,mean,missing_pool_mean,-16.048476119780368,-25.072700892665573,-1.9429063706109198,2000,True
three_year_early,1,variance,mean,missing_zero_citation_percentile,-17.803325575442287,-26.99205845883861,-2.5396695528050723,2000,True
three_year_early,1,variance,D2,observed_only,-1.1921732459472594,-9.632265082770138,11.93327664621353,2000,True
three_year_early,1,variance,D2,missing_percentile_0,1.6146402941696465,-7.403463113015203,16.267992224718707,2000,True
three_year_early,1,variance,D2,missing_pool_mean,-1.0950587761837767,-8.333867745604136,9.892299773393342,2000,True
three_year_early,1,variance,D2,missing_zero_citation_percentile,0.659790679478121,-7.21950806152296,13.82641673272471,2000,True
three_year_early,2,variance,lottery,observed_only,1.6230083706428076,-6.206779442100934,8.931579556463513,2000,True
three_year_early,2,variance,lottery,missing_percentile_0,3.256998642947643,-5.397859547892075,9.864590584041954,2000,True
three_year_early,2,variance,lottery,missing_pool_mean,1.2741937954797322,-5.370220628520359,7.681529024822582,2000,True
three_year_early,2,variance,lottery,missing_zero_citation_percentile,2.695644359381731,-5.030053448311403,8.881204339440814,2000,True
