id,frame,budget,rule,estimate,ci_low,ci_high,note
yield_two_year_through_2024_D2_observed_only_b2,2017-2024 ex2020 2yr,2%,D2,1.481421,-4.441572,6.861168,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_D2_observed_only_b2_coverage,2017-2024 ex2020 2yr,2%,D2,68.571429,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_D2_observed_only_b2_slots,2017-2024 ex2020 2yr,2%,D2,140.000000,,,award slots at this budget
yield_two_year_through_2024_D2_missing_percentile_0_b2,2017-2024 ex2020 2yr,2%,D2,1.076375,-4.404711,5.749926,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_D2_missing_percentile_0_b2_coverage,2017-2024 ex2020 2yr,2%,D2,68.571429,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_D2_missing_percentile_0_b2_slots,2017-2024 ex2020 2yr,2%,D2,140.000000,,,award slots at this budget
yield_two_year_through_2024_D2_missing_pool_mean_b2,2017-2024 ex2020 2yr,2%,D2,0.996429,-3.071388,4.640079,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_D2_missing_pool_mean_b2_coverage,2017-2024 ex2020 2yr,2%,D2,68.571429,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_D2_missing_pool_mean_b2_slots,2017-2024 ex2020 2yr,2%,D2,140.000000,,,award slots at this budget
yield_two_year_through_2024_D2_missing_zero_citation_percentile_b2,2017-2024 ex2020 2yr,2%,D2,1.059795,-3.505089,5.131284,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_D2_missing_zero_citation_percentile_b2_coverage,2017-2024 ex2020 2yr,2%,D2,68.571429,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_D2_missing_zero_citation_percentile_b2_slots,2017-2024 ex2020 2yr,2%,D2,140.000000,,,award slots at this budget
yield_two_year_through_2024_mean_observed_only_b2,2017-2024 ex2020 2yr,2%,mean,8.269994,3.876237,14.137895,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_mean_observed_only_b2_coverage,2017-2024 ex2020 2yr,2%,mean,76.428571,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_mean_observed_only_b2_slots,2017-2024 ex2020 2yr,2%,mean,140.000000,,,award slots at this budget
yield_two_year_through_2024_mean_missing_percentile_0_b2,2017-2024 ex2020 2yr,2%,mean,9.738586,5.608414,16.126789,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_mean_missing_percentile_0_b2_coverage,2017-2024 ex2020 2yr,2%,mean,76.428571,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_mean_missing_percentile_0_b2_slots,2017-2024 ex2020 2yr,2%,mean,140.000000,,,award slots at this budget
yield_two_year_through_2024_mean_missing_pool_mean_b2,2017-2024 ex2020 2yr,2%,mean,6.174964,2.869828,10.894164,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_mean_missing_pool_mean_b2_coverage,2017-2024 ex2020 2yr,2%,mean,76.428571,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_mean_missing_pool_mean_b2_slots,2017-2024 ex2020 2yr,2%,mean,140.000000,,,award slots at this budget
yield_two_year_through_2024_mean_missing_zero_citation_percentile_b2,2017-2024 ex2020 2yr,2%,mean,8.217256,4.529011,13.823446,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_mean_missing_zero_citation_percentile_b2_coverage,2017-2024 ex2020 2yr,2%,mean,76.428571,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_mean_missing_zero_citation_percentile_b2_slots,2017-2024 ex2020 2yr,2%,mean,140.000000,,,award slots at this budget
yield_two_year_through_2024_variance_observed_only_b2,2017-2024 ex2020 2yr,2%,variance,1.744740,-3.789600,6.921904,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_variance_observed_only_b2_coverage,2017-2024 ex2020 2yr,2%,variance,71.428571,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_variance_observed_only_b2_slots,2017-2024 ex2020 2yr,2%,variance,140.000000,,,award slots at this budget
yield_two_year_through_2024_variance_missing_percentile_0_b2,2017-2024 ex2020 2yr,2%,variance,2.527660,-2.581872,7.349848,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_variance_missing_percentile_0_b2_coverage,2017-2024 ex2020 2yr,2%,variance,71.428571,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_variance_missing_percentile_0_b2_slots,2017-2024 ex2020 2yr,2%,variance,140.000000,,,award slots at this budget
yield_two_year_through_2024_variance_missing_pool_mean_b2,2017-2024 ex2020 2yr,2%,variance,1.100920,-2.873920,4.818363,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_variance_missing_pool_mean_b2_coverage,2017-2024 ex2020 2yr,2%,variance,71.428571,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_variance_missing_pool_mean_b2_slots,2017-2024 ex2020 2yr,2%,variance,140.000000,,,award slots at this budget
yield_two_year_through_2024_variance_missing_zero_citation_percentile_b2,2017-2024 ex2020 2yr,2%,variance,1.875138,-2.512840,6.042778,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_variance_missing_zero_citation_percentile_b2_coverage,2017-2024 ex2020 2yr,2%,variance,71.428571,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_variance_missing_zero_citation_percentile_b2_slots,2017-2024 ex2020 2yr,2%,variance,140.000000,,,award slots at this budget
yield_two_year_through_2024_max_observed_only_b2,2017-2024 ex2020 2yr,2%,max,8.204990,2.559946,13.520346,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_max_observed_only_b2_coverage,2017-2024 ex2020 2yr,2%,max,73.571429,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_max_observed_only_b2_slots,2017-2024 ex2020 2yr,2%,max,140.000000,,,award slots at this budget
yield_two_year_through_2024_max_missing_percentile_0_b2,2017-2024 ex2020 2yr,2%,max,8.233602,2.864879,13.319473,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_max_missing_percentile_0_b2_coverage,2017-2024 ex2020 2yr,2%,max,73.571429,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_max_missing_percentile_0_b2_slots,2017-2024 ex2020 2yr,2%,max,140.000000,,,award slots at this budget
yield_two_year_through_2024_max_missing_pool_mean_b2,2017-2024 ex2020 2yr,2%,max,5.873157,1.735398,9.744870,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_max_missing_pool_mean_b2_coverage,2017-2024 ex2020 2yr,2%,max,73.571429,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_max_missing_pool_mean_b2_slots,2017-2024 ex2020 2yr,2%,max,140.000000,,,award slots at this budget
yield_two_year_through_2024_max_missing_zero_citation_percentile_b2,2017-2024 ex2020 2yr,2%,max,7.175798,2.559906,11.450679,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_max_missing_zero_citation_percentile_b2_coverage,2017-2024 ex2020 2yr,2%,max,73.571429,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_max_missing_zero_citation_percentile_b2_slots,2017-2024 ex2020 2yr,2%,max,140.000000,,,award slots at this budget
yield_two_year_through_2024_max_resid_observed_only_b2,2017-2024 ex2020 2yr,2%,max_resid,2.234353,-4.471183,7.071821,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_max_resid_observed_only_b2_coverage,2017-2024 ex2020 2yr,2%,max_resid,67.142857,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_max_resid_observed_only_b2_slots,2017-2024 ex2020 2yr,2%,max_resid,140.000000,,,award slots at this budget
yield_two_year_through_2024_max_resid_missing_percentile_0_b2,2017-2024 ex2020 2yr,2%,max_resid,0.950314,-4.775588,5.513352,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_max_resid_missing_percentile_0_b2_coverage,2017-2024 ex2020 2yr,2%,max_resid,67.142857,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_max_resid_missing_percentile_0_b2_slots,2017-2024 ex2020 2yr,2%,max_resid,140.000000,,,award slots at this budget
yield_two_year_through_2024_max_resid_missing_pool_mean_b2,2017-2024 ex2020 2yr,2%,max_resid,1.427045,-2.958337,4.657312,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_max_resid_missing_pool_mean_b2_coverage,2017-2024 ex2020 2yr,2%,max_resid,67.142857,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_max_resid_missing_pool_mean_b2_slots,2017-2024 ex2020 2yr,2%,max_resid,140.000000,,,award slots at this budget
yield_two_year_through_2024_max_resid_missing_zero_citation_percentile_b2,2017-2024 ex2020 2yr,2%,max_resid,1.111345,-3.856753,4.852069,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_max_resid_missing_zero_citation_percentile_b2_coverage,2017-2024 ex2020 2yr,2%,max_resid,67.142857,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_max_resid_missing_zero_citation_percentile_b2_slots,2017-2024 ex2020 2yr,2%,max_resid,140.000000,,,award slots at this budget
yield_two_year_through_2024_lottery_observed_only_b2,2017-2024 ex2020 2yr,2%,lottery,0.000000,0.000000,0.000000,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_lottery_observed_only_b2_coverage,2017-2024 ex2020 2yr,2%,lottery,68.429743,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_lottery_observed_only_b2_slots,2017-2024 ex2020 2yr,2%,lottery,140.000000,,,award slots at this budget
yield_two_year_through_2024_lottery_missing_percentile_0_b2,2017-2024 ex2020 2yr,2%,lottery,0.000000,0.000000,0.000000,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_lottery_missing_percentile_0_b2_coverage,2017-2024 ex2020 2yr,2%,lottery,68.429743,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_lottery_missing_percentile_0_b2_slots,2017-2024 ex2020 2yr,2%,lottery,140.000000,,,award slots at this budget
yield_two_year_through_2024_lottery_missing_pool_mean_b2,2017-2024 ex2020 2yr,2%,lottery,0.000000,0.000000,0.000000,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_lottery_missing_pool_mean_b2_coverage,2017-2024 ex2020 2yr,2%,lottery,68.429743,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_lottery_missing_pool_mean_b2_slots,2017-2024 ex2020 2yr,2%,lottery,140.000000,,,award slots at this budget
yield_two_year_through_2024_lottery_missing_zero_citation_percentile_b2,2017-2024 ex2020 2yr,2%,lottery,0.000000,0.000000,0.000000,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_lottery_missing_zero_citation_percentile_b2_coverage,2017-2024 ex2020 2yr,2%,lottery,68.429743,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_lottery_missing_zero_citation_percentile_b2_slots,2017-2024 ex2020 2yr,2%,lottery,140.000000,,,award slots at this budget
yield_two_year_through_2024_D2_observed_only_b5,2017-2024 ex2020 2yr,5%,D2,-2.512911,-5.908787,1.062202,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_D2_observed_only_b5_coverage,2017-2024 ex2020 2yr,5%,D2,63.372093,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_D2_observed_only_b5_slots,2017-2024 ex2020 2yr,5%,D2,344.000000,,,award slots at this budget
