budget_pct,slots,rule,scenario,resolved_selected,coverage,mean_percentile,ci_low,ci_high,difference_lottery,difference_ci_low,difference_ci_high
5,151,max,missing_percentile_0,126.0,0.8344370860927153,42.74052455675807,37.70139787478341,47.95102260871598,8.237716767588886,3.140021177707518,13.38930205170291
5,151,max,missing_pool_mean,126.0,0.8344370860927153,49.95453006434164,45.95039702162774,54.465308768725016,8.4308354346485,4.426320367944758,12.921324842294098
5,151,max,missing_zero_citation_percentile,126.0,0.8344370860927153,44.975927404952984,40.33308350447561,49.78310009018235,8.305622171787086,3.7828617590171105,13.12732423747316
5,151,max_resid,observed_only,126.0,0.8344370860927153,43.001813669494574,37.81398054315786,47.339179124706185,1.9002125492083195,-3.2064215146535404,6.353590638729219
5,151,max_resid,missing_percentile_0,126.0,0.8344370860927153,35.88230809507495,31.135778523794432,40.421342216988755,1.379500305905765,-3.3140069101882648,5.953106197875253
5,151,max_resid,missing_pool_mean,126.0,0.8344370860927153,43.051960866447054,38.613696825738884,46.74248003923561,1.5282662367539146,-2.7387574665722703,5.31241721860539
5,151,max_resid,missing_zero_citation_percentile,126.0,0.8344370860927153,38.13006247886636,33.682790368653905,42.36251764756491,1.4597572457004588,-2.931561738616585,5.683133602233219
5,151,lottery,observed_only,126.75720249723113,0.8394516721670936,41.101601120286254,40.50035802624096,41.70175974941387,0.0,0.0,0.0
5,151,lottery,missing_percentile_0,126.75720249723113,0.8394516721670936,34.50280778916918,33.85916130582337,35.17207580900408,0.0,0.0,0.0
5,151,lottery,missing_pool_mean,126.75720249723113,0.8394516721670936,41.52369462969314,40.87224957363634,42.171805165782324,0.0,0.0,0.0
5,151,lottery,missing_zero_citation_percentile,126.75720249723113,0.8394516721670936,36.6703052331659,36.077369073064894,37.26105379097109,0.0,0.0,0.0
10,301,D2,observed_only,243.0,0.8073089700996677,40.04480037988691,36.22524209030933,43.006302233529496,-1.0637453452911458,-4.8060108428190675,1.9104220463102903
10,301,D2,missing_percentile_0,243.0,0.8073089700996677,32.32852655253328,28.976831039433577,35.31789283563728,-2.1619076620755635,-5.412644698069049,0.8477186210394636
10,301,D2,missing_pool_mean,243.0,0.8073089700996677,40.75274373531128,37.631737225948505,43.21731375777629,-0.7783430846057655,-3.792381557801652,1.6060534498946033
10,301,D2,missing_zero_citation_percentile,243.0,0.8073089700996677,34.94830149744697,31.837689822662192,37.64961093365239,-1.71574685265238,-4.796328256897537,0.9629880852381573
10,301,mean,observed_only,266.0,0.8837209302325582,52.1916145693052,48.96172006826477,55.22743465288101,11.083068844127148,7.900141242995185,14.096210366185822
10,301,mean,missing_percentile_0,266.0,0.8837209302325582,46.12282217752553,42.77876709698842,49.229213632505264,11.632387962916681,8.348678853708474,14.653958625934841
10,301,mean,missing_pool_mean,266.0,0.8837209302325582,51.20661264072197,48.32408804272965,53.84308453355782,9.675525820804928,6.839966386358991,12.266063529172943
10,301,mean,missing_zero_citation_percentile,266.0,0.8837209302325582,47.67445069579804,44.492267082854994,50.58357436674948,11.010402345698694,7.898778482578984,13.812699448015326
